"Voglio ricevere il contratto da firmare digitalmente","I want to receive the contract to sign digitally"
"Per i prodotti nel carrello la firma del contratto è obbligatoria.","Signing the contract is mandatory for the products in your cart."
"Carrello non disponibile.","Cart not available."
"Impossibile salvare la scelta.","Unable to save your choice."
"Per procedere devi accettare la firma digitale del contratto.","You must accept the digital signature of the contract to proceed."
"Documenti firma","Signature documents"
"ID ordine","Order ID"
"Email firmatario","Signer email"
"Vedi ordine","View order"
"Scarica firmato","Download signed"
"Scarica generato","Download generated"
"PDF non disponibile per questo documento.","PDF not available for this document."
"Impossibile scaricare il PDF: %1","Unable to download the PDF: %1"
"Genera documenti firma","Generate signature documents"
"Generare i documenti firma per gli ordini selezionati?","Generate signature documents for the selected orders?"
"Generazione documenti firma presa in carico per %1 ordine/i.","Signature document generation queued for %1 order(s)."
"Impossibile prendere in carico %1 ordine/i (vedi log).","Could not queue %1 order(s) (see log)."
"Contratti firmati","Signed contracts"
"Scarica i contratti firmati digitalmente per questo ordine.","Download the digitally signed contracts for this order."
"Scarica PDF firmato","Download signed PDF"
"Contratto d'ordine","Order contract"
"Contratto","Contract"
"Notifiche email","Email notifications"
"Email inviate al cliente e all'admin sugli eventi del documento firma.","Emails sent to the customer and the admin about signature document events."
"Mittente","Sender"
"Email destinatario admin","Admin recipient email"
"Per le notifiche di errore ed esito negativo. Vuoto = contatto generale dello store.","For error and negative-outcome notifications. Empty = store general contact."
"Avvisa il cliente quando il documento è pronto","Notify the customer when the document is ready"
"Spesso il provider invia già il proprio invito a firmare: disattivato di default.","The provider often already sends its own signing invitation: off by default."
"Template ""documento pronto"" (cliente)","""Document ready"" template (customer)"
"Avvisa il cliente quando il documento è firmato","Notify the customer when the document is signed"
"Template ""documento firmato"" (cliente)","""Document signed"" template (customer)"
"Avvisa il cliente se il documento scade o viene rifiutato","Notify the customer if the document expires or is declined"
"Disattivato di default per evitare allarmismi: valutare caso per caso.","Off by default to avoid alarm: evaluate case by case."
"Template ""scaduto/rifiutato"" (cliente)","""Expired/declined"" template (customer)"
"Avvisa l'admin in caso di errore definitivo","Notify the admin on definitive error"
"Template ""errore documento"" (admin)","""Document error"" template (admin)"
"Avvisa l'admin se il documento scade o viene rifiutato","Notify the admin if the document expires or is declined"
"Template ""scaduto/rifiutato"" (admin)","""Expired/declined"" template (admin)"
"Il tuo contratto da firmare digitalmente è pronto (ordine %increment_id)","Your contract to sign digitally is ready (order %increment_id)"
"Ciao %name,","Hello %name,"
"il contratto relativo al tuo ordine #%increment_id è pronto per essere firmato digitalmente.","the contract for your order #%increment_id is ready to be signed digitally."
