"Voglio ricevere il contratto da firmare digitalmente","Quiero recibir el contrato para firmarlo digitalmente"
"Per i prodotti nel carrello la firma del contratto è obbligatoria.","Para los productos del carrito, la firma del contrato es obligatoria."
"Carrello non disponibile.","Carrito no disponible."
"Impossibile salvare la scelta.","No se pudo guardar la selección."
"Per procedere devi accettare la firma digitale del contratto.","Para continuar debes aceptar la firma digital del contrato."
"Documenti firma","Documentos de firma"
"ID ordine","ID de pedido"
"Email firmatario","Correo electrónico del firmante"
"Vedi ordine","Ver pedido"
"Scarica firmato","Descargar firmado"
"Scarica generato","Descargar generado"
"PDF non disponibile per questo documento.","PDF no disponible para este documento."
"Impossibile scaricare il PDF: %1","No se puede descargar el PDF: %1"
"Genera documenti firma","Generar documentos de firma"
"Generare i documenti firma per gli ordini selezionati?","¿Generar los documentos de firma para los pedidos seleccionados?"
"Generazione documenti firma presa in carico per %1 ordine/i.","Generación de documentos de firma en curso para %1 pedido(s)."
"Impossibile prendere in carico %1 ordine/i (vedi log).","No se pudieron encolar %1 pedido(s) (ver registro)."
"Contratti firmati","Contratos firmados"
"Scarica i contratti firmati digitalmente per questo ordine.","Descargue los contratos firmados digitalmente para este pedido."
"Scarica PDF firmato","Descargar PDF firmado"
"Contratto d'ordine","Contrato del pedido"
Contratto,Contrato
"Notifiche email","Notificaciones por correo electrónico"
"Email inviate al cliente e all'admin sugli eventi del documento firma.","Correos enviados al cliente y al administrador sobre eventos del documento de firma."
Mittente,Remitente
"Email destinatario admin","Correo electrónico del destinatario administrador"
"Per le notifiche di errore ed esito negativo. Vuoto = contatto generale dello store.","Para notificaciones de error y resultado negativo. Vacío = contacto general de la tienda."
"Avvisa il cliente quando il documento è pronto","Avisar al cliente cuando el documento esté listo"
"Spesso il provider invia già il proprio invito a firmare: disattivato di default.","El proveedor a menudo ya envía su propia invitación a firmar: desactivado por defecto."
"Template ""documento pronto"" (cliente)","Plantilla ""documento listo"" (cliente)"
"Avvisa il cliente quando il documento è firmato","Avisar al cliente cuando el documento esté firmado"
"Template ""documento firmato"" (cliente)","Plantilla ""documento firmado"" (cliente)"
"Avvisa il cliente se il documento scade o viene rifiutato","Avisar al cliente si el documento caduca o es rechazado"
"Disattivato di default per evitare allarmismi: valutare caso per caso.","Desactivado por defecto para evitar alarmismos: evaluar caso por caso."
"Template ""scaduto/rifiutato"" (cliente)","Plantilla ""caducado/rechazado"" (cliente)"
"Avvisa l'admin in caso di errore definitivo","Avisar al administrador en caso de error definitivo"
"Template ""errore documento"" (admin)","Plantilla ""error de documento"" (administrador)"
"Avvisa l'admin se il documento scade o viene rifiutato","Avisar al administrador si el documento caduca o es rechazado"
"Template ""scaduto/rifiutato"" (admin)","Plantilla ""caducado/rechazado"" (administrador)"
"Il tuo contratto da firmare digitalmente è pronto (ordine %increment_id)","Su contrato para firmar digitalmente está listo (pedido %increment_id)"
"Ciao %name,","Hola %name,"
"il contratto relativo al tuo ordine #%increment_id è pronto per essere firmato digitalmente.","el contrato de su pedido #%increment_id está listo para ser firmado digitalmente."
"A breve riceverai (o hai già ricevuto) le istruzioni dal servizio di firma all'indirizzo %email. Segui quel processo per completare la firma.","En breve recibirá (o ya ha recibido) las instrucciones del servicio de firma en %email. Siga ese proceso para completar la firma."
"Puoi consultare lo stato del tuo ordine qui: <a href=""%url"">I miei ordini</a>","Puede consultar el estado de su pedido aquí: <a href=""%url"">Mis pedidos</a>"
"Il tuo contratto firmato è disponibile (ordine %increment_id)","Su contrato firmado está disponible (pedido %increment_id)"
"il contratto relativo al tuo ordine #%increment_id è stato firmato digitalmente con successo.","el contrato de su pedido #%increment_id se ha firmado digitalmente con éxito."
"Puoi scaricare il documento firmato dalla tua area clienti: <a href=""%url"">Vai all'ordine</a>","Puede descargar el documento firmado desde su área de cliente: <a href=""%url"">Ir al pedido</a>"
"Aggiornamento sul contratto da firmare (ordine %increment_id)","Actualización sobre el contrato a firmar (pedido %increment_id)"
"il processo di firma del contratto relativo al tuo ordine #%increment_id si è concluso con esito: %status.","el proceso de firma del contrato de su pedido #%increment_id ha finalizado con el resultado: %status."
"Se ritieni che si tratti di un errore, contatta il nostro servizio clienti. Puoi consultare il tuo ordine qui: <a href=""%url"">I miei ordini</a>","Si cree que se trata de un error, contacte con nuestro servicio de atención al cliente. Puede consultar su pedido aquí: <a href=""%url"">Mis pedidos</a>"
"[Firma Digitale] Errore documento #%document_id (ordine %increment_id)","[Firma Digital] Error de documento #%document_id (pedido %increment_id)"
"L'elaborazione di un documento firma è terminata in errore e richiede un intervento manuale.","El procesamiento de un documento de firma ha terminado en error y requiere intervención manual."
"Documento: #%document_id","Documento: #%document_id"
"Ordine: #%increment_id","Pedido: #%increment_id"
"Provider: %provider","Proveedor: %provider"
"Firmatario: %email","Firmante: %email"
"Errore: %message","Error: %message"
"Vai all'ordine in backend: <a href=""%url"">%url</a>","Abrir el pedido en el backend: <a href=""%url"">%url</a>"
"[Firma Digitale] Documento #%document_id %status (ordine %increment_id)","[Firma Digital] Documento #%document_id %status (pedido %increment_id)"
"Il processo di firma di un documento si è concluso con esito negativo.","El proceso de firma de un documento ha finalizado con un resultado negativo."
"Esito: %status","Resultado: %status"
"In attesa",Pendiente
Generato,Generado
"Inviato in firma","Enviado a firma"
Firmato,Firmado
Rifiutato,Rechazado
Scaduto,Caducado
Errore,Error
Annullato,Cancelado
"Salvataggio in corso...",Guardando...
"Preferenza salvata.","Preferencia guardada."
"Non è stato possibile salvare la preferenza. Riprova.","No se pudo guardar la preferencia. Vuelva a intentarlo."
"Attenzione: la firma resta obbligatoria per completare l'ordine.","Atención: la firma sigue siendo obligatoria para completar el pedido."
"Mage-OS","Mage-OS"
"Firma Digitale","Firma digital"
"Generale","General"
"Abilitato","Habilitado"
"Presa d'atto GDPR (modalità produzione)","Reconocimiento RGPD (modo producción)"
"Trigger di generazione predefinito","Disparador de generación predeterminado"
"Provider di firma attivo","Proveedor de firma activo"
"Tentativi massimi","Intentos máximos"
"Limite documenti per riconciliazione","Límite de documentos por conciliación"
"Provider di firma","Proveedor de firma"
"WsSign","WsSign"
"Platform URL","URL de la plataforma"
"Tenant","Tenant"
