"Voglio ricevere il contratto da firmare digitalmente","Je souhaite recevoir le contrat à signer numériquement"
"Per i prodotti nel carrello la firma del contratto è obbligatoria.","Pour les produits du panier, la signature du contrat est obligatoire."
"Carrello non disponibile.","Panier non disponible."
"Impossibile salvare la scelta.","Impossible d'enregistrer le choix."
"Per procedere devi accettare la firma digitale del contratto.","Pour continuer, vous devez accepter la signature numérique du contrat."
"Documenti firma","Documents de signature"
"ID ordine","ID de commande"
"Email firmatario","E-mail du signataire"
"Vedi ordine","Voir la commande"
"Scarica firmato","Télécharger le signé"
"Scarica generato","Télécharger le généré"
"PDF non disponibile per questo documento.","PDF non disponible pour ce document."
"Impossibile scaricare il PDF: %1","Impossible de télécharger le PDF : %1"
"Genera documenti firma","Générer les documents de signature"
"Generare i documenti firma per gli ordini selezionati?","Générer les documents de signature pour les commandes sélectionnées ?"
"Generazione documenti firma presa in carico per %1 ordine/i.","Génération des documents de signature en cours pour %1 commande(s)."
"Impossibile prendere in carico %1 ordine/i (vedi log).","Impossible de mettre en file d'attente %1 commande(s) (voir le journal)."
"Contratti firmati","Contrats signés"
"Scarica i contratti firmati digitalmente per questo ordine.","Téléchargez les contrats signés numériquement pour cette commande."
"Scarica PDF firmato","Télécharger le PDF signé"
"Contratto d'ordine","Contrat de commande"
Contratto,Contrat
"Notifiche email","Notifications par e-mail"
"Email inviate al cliente e all'admin sugli eventi del documento firma.","E-mails envoyés au client et à l'administrateur concernant les événements du document de signature."
Mittente,Expéditeur
"Email destinatario admin","E-mail du destinataire administrateur"
"Per le notifiche di errore ed esito negativo. Vuoto = contatto generale dello store.","Pour les notifications d'erreur et de résultat négatif. Vide = contact général de la boutique."
"Avvisa il cliente quando il documento è pronto","Avertir le client lorsque le document est prêt"
"Spesso il provider invia già il proprio invito a firmare: disattivato di default.","Le prestataire envoie souvent déjà sa propre invitation à signer : désactivé par défaut."
"Template ""documento pronto"" (cliente)","Modèle « document prêt » (client)"
"Avvisa il cliente quando il documento è firmato","Avertir le client lorsque le document est signé"
"Template ""documento firmato"" (cliente)","Modèle « document signé » (client)"
"Avvisa il cliente se il documento scade o viene rifiutato","Avertir le client si le document expire ou est refusé"
"Disattivato di default per evitare allarmismi: valutare caso per caso.","Désactivé par défaut pour éviter tout alarmisme : à évaluer au cas par cas."
"Template ""scaduto/rifiutato"" (cliente)","Modèle « expiré/refusé » (client)"
"Avvisa l'admin in caso di errore definitivo","Avertir l'administrateur en cas d'erreur définitive"
"Template ""errore documento"" (admin)","Modèle « erreur de document » (administrateur)"
"Avvisa l'admin se il documento scade o viene rifiutato","Avertir l'administrateur si le document expire ou est refusé"
"Template ""scaduto/rifiutato"" (admin)","Modèle « expiré/refusé » (administrateur)"
"Il tuo contratto da firmare digitalmente è pronto (ordine %increment_id)","Votre contrat à signer numériquement est prêt (commande %increment_id)"
"Ciao %name,","Bonjour %name,"
"il contratto relativo al tuo ordine #%increment_id è pronto per essere firmato digitalmente.","le contrat de votre commande #%increment_id est prêt à être signé numériquement."
"A breve riceverai (o hai già ricevuto) le istruzioni dal servizio di firma all'indirizzo %email. Segui quel processo per completare la firma.","Vous recevrez bientôt (ou avez déjà reçu) les instructions du service de signature à %email. Suivez ce processus pour finaliser la signature."
"Puoi consultare lo stato del tuo ordine qui: <a href=""%url"">I miei ordini</a>","Vous pouvez consulter l'état de votre commande ici : <a href=""%url"">Mes commandes</a>"
"Il tuo contratto firmato è disponibile (ordine %increment_id)","Votre contrat signé est disponible (commande %increment_id)"
"il contratto relativo al tuo ordine #%increment_id è stato firmato digitalmente con successo.","le contrat de votre commande #%increment_id a été signé numériquement avec succès."
"Puoi scaricare il documento firmato dalla tua area clienti: <a href=""%url"">Vai all'ordine</a>","Vous pouvez télécharger le document signé depuis votre espace client : <a href=""%url"">Aller à la commande</a>"
"Aggiornamento sul contratto da firmare (ordine %increment_id)","Mise à jour concernant le contrat à signer (commande %increment_id)"
