"Voglio ricevere il contratto da firmare digitalmente","Voglio ricevere il contratto da firmare digitalmente"
"Per i prodotti nel carrello la firma del contratto è obbligatoria.","Per i prodotti nel carrello la firma del contratto è obbligatoria."
"Carrello non disponibile.","Carrello non disponibile."
"Impossibile salvare la scelta.","Impossibile salvare la scelta."
"Per procedere devi accettare la firma digitale del contratto.","Per procedere devi accettare la firma digitale del contratto."
"Documenti firma","Documenti firma"
"ID ordine","ID ordine"
"Email firmatario","Email firmatario"
"Vedi ordine","Vedi ordine"
"Scarica firmato","Scarica firmato"
"Scarica generato","Scarica generato"
"PDF non disponibile per questo documento.","PDF non disponibile per questo documento."
"Impossibile scaricare il PDF: %1","Impossibile scaricare il PDF: %1"
"Genera documenti firma","Genera documenti firma"
"Generare i documenti firma per gli ordini selezionati?","Generare i documenti firma per gli ordini selezionati?"
"Generazione documenti firma presa in carico per %1 ordine/i.","Generazione documenti firma presa in carico per %1 ordine/i."
"Impossibile prendere in carico %1 ordine/i (vedi log).","Impossibile prendere in carico %1 ordine/i (vedi log)."
"Contratti firmati","Contratti firmati"
"Scarica i contratti firmati digitalmente per questo ordine.","Scarica i contratti firmati digitalmente per questo ordine."
"Scarica PDF firmato","Scarica PDF firmato"
"Contratto d'ordine","Contratto d'ordine"
Contratto,Contratto
"Notifiche email","Notifiche email"
"Email inviate al cliente e all'admin sugli eventi del documento firma.","Email inviate al cliente e all'admin sugli eventi del documento firma."
Mittente,Mittente
"Email destinatario admin","Email destinatario admin"
"Per le notifiche di errore ed esito negativo. Vuoto = contatto generale dello store.","Per le notifiche di errore ed esito negativo. Vuoto = contatto generale dello store."
"Avvisa il cliente quando il documento è pronto","Avvisa il cliente quando il documento è pronto"
"Spesso il provider invia già il proprio invito a firmare: disattivato di default.","Spesso il provider invia già il proprio invito a firmare: disattivato di default."
"Template ""documento pronto"" (cliente)","Template ""documento pronto"" (cliente)"
"Avvisa il cliente quando il documento è firmato","Avvisa il cliente quando il documento è firmato"
"Template ""documento firmato"" (cliente)","Template ""documento firmato"" (cliente)"
"Avvisa il cliente se il documento scade o viene rifiutato","Avvisa il cliente se il documento scade o viene rifiutato"
"Disattivato di default per evitare allarmismi: valutare caso per caso.","Disattivato di default per evitare allarmismi: valutare caso per caso."
"Template ""scaduto/rifiutato"" (cliente)","Template ""scaduto/rifiutato"" (cliente)"
"Avvisa l'admin in caso di errore definitivo","Avvisa l'admin in caso di errore definitivo"
"Template ""errore documento"" (admin)","Template ""errore documento"" (admin)"
"Avvisa l'admin se il documento scade o viene rifiutato","Avvisa l'admin se il documento scade o viene rifiutato"
"Template ""scaduto/rifiutato"" (admin)","Template ""scaduto/rifiutato"" (admin)"
"Il tuo contratto da firmare digitalmente è pronto (ordine %increment_id)","Il tuo contratto da firmare digitalmente è pronto (ordine %increment_id)"
"Ciao %name,","Ciao %name,"
"il contratto relativo al tuo ordine #%increment_id è pronto per essere firmato digitalmente.","il contratto relativo al tuo ordine #%increment_id è pronto per essere firmato digitalmente."
"A breve riceverai (o hai già ricevuto) le istruzioni dal servizio di firma all'indirizzo %email. Segui quel processo per completare la firma.","A breve riceverai (o hai già ricevuto) le istruzioni dal servizio di firma all'indirizzo %email. Segui quel processo per completare la firma."
"Puoi consultare lo stato del tuo ordine qui: <a href=""%url"">I miei ordini</a>","Puoi consultare lo stato del tuo ordine qui: <a href=""%url"">I miei ordini</a>"
"Il tuo contratto firmato è disponibile (ordine %increment_id)","Il tuo contratto firmato è disponibile (ordine %increment_id)"
"il contratto relativo al tuo ordine #%increment_id è stato firmato digitalmente con successo.","il contratto relativo al tuo ordine #%increment_id è stato firmato digitalmente con successo."
"Puoi scaricare il documento firmato dalla tua area clienti: <a href=""%url"">Vai all'ordine</a>","Puoi scaricare il documento firmato dalla tua area clienti: <a href=""%url"">Vai all'ordine</a>"
"Aggiornamento sul contratto da firmare (ordine %increment_id)","Aggiornamento sul contratto da firmare (ordine %increment_id)"
"il processo di firma del contratto relativo al tuo ordine #%increment_id si è concluso con esito: %status.","il processo di firma del contratto relativo al tuo ordine #%increment_id si è concluso con esito: %status."
"Se ritieni che si tratti di un errore, contatta il nostro servizio clienti. Puoi consultare il tuo ordine qui: <a href=""%url"">I miei ordini</a>","Se ritieni che si tratti di un errore, contatta il nostro servizio clienti. Puoi consultare il tuo ordine qui: <a href=""%url"">I miei ordini</a>"
"[Firma Digitale] Errore documento #%document_id (ordine %increment_id)","[Firma Digitale] Errore documento #%document_id (ordine %increment_id)"
"L'elaborazione di un documento firma è terminata in errore e richiede un intervento manuale.","L'elaborazione di un documento firma è terminata in errore e richiede un intervento manuale."
"Documento: #%document_id","Documento: #%document_id"
"Ordine: #%increment_id","Ordine: #%increment_id"
"Provider: %provider","Provider: %provider"
"Firmatario: %email","Firmatario: %email"
"Errore: %message","Errore: %message"
"Vai all'ordine in backend: <a href=""%url"">%url</a>","Vai all'ordine in backend: <a href=""%url"">%url</a>"
"[Firma Digitale] Documento #%document_id %status (ordine %increment_id)","[Firma Digitale] Documento #%document_id %status (ordine %increment_id)"
"Il processo di firma di un documento si è concluso con esito negativo.","Il processo di firma di un documento si è concluso con esito negativo."
"Esito: %status","Esito: %status"
"In attesa","In attesa"
Generato,Generato
"Inviato in firma","Inviato in firma"
Firmato,Firmato
Rifiutato,Rifiutato
Scaduto,Scaduto
Errore,Errore
Annullato,Annullato
"Salvataggio in corso...","Salvataggio in corso..."
"Preferenza salvata.","Preferenza salvata."
"Non è stato possibile salvare la preferenza. Riprova.","Non è stato possibile salvare la preferenza. Riprova."
"Attenzione: la firma resta obbligatoria per completare l'ordine.","Attenzione: la firma resta obbligatoria per completare l'ordine."
"Reminder automatici","Reminder automatici"
"Solleciti per documenti in attesa di firma.","Solleciti per documenti in attesa di firma."
"Invia solleciti al cliente","Invia solleciti al cliente"
