"Voglio ricevere il contratto da firmare digitalmente","Quero receber o contrato para assinar digitalmente"
"Per i prodotti nel carrello la firma del contratto è obbligatoria.","Para os produtos no carrinho, a assinatura do contrato é obrigatória."
"Carrello non disponibile.","Carrinho não disponível."
"Impossibile salvare la scelta.","Não foi possível salvar a escolha."
"Per procedere devi accettare la firma digitale del contratto.","Para continuar, você deve aceitar a assinatura digital do contrato."
"Documenti firma","Documentos de assinatura"
"ID ordine","ID do pedido"
"Email firmatario","E-mail do signatário"
"Vedi ordine","Ver pedido"
"Scarica firmato","Baixar assinado"
"Scarica generato","Baixar gerado"
"PDF non disponibile per questo documento.","PDF não disponível para este documento."
"Impossibile scaricare il PDF: %1","Não é possível baixar o PDF: %1"
"Genera documenti firma","Gerar documentos de assinatura"
"Generare i documenti firma per gli ordini selezionati?","Gerar documentos de assinatura para os pedidos selecionados?"
"Generazione documenti firma presa in carico per %1 ordine/i.","Geração de documentos de assinatura em andamento para %1 pedido(s)."
"Impossibile prendere in carico %1 ordine/i (vedi log).","Não foi possível processar %1 pedido(s) (veja o log)."
"Contratti firmati","Contratos assinados"
"Scarica i contratti firmati digitalmente per questo ordine.","Baixe os contratos assinados digitalmente para este pedido."
"Scarica PDF firmato","Baixar PDF assinado"
"Contratto d'ordine","Contrato do pedido"
Contratto,Contrato
"Notifiche email","Notificações por e-mail"
"Email inviate al cliente e all'admin sugli eventi del documento firma.","E-mails enviados ao cliente e ao administrador sobre eventos do documento de assinatura."
Mittente,Remetente
"Email destinatario admin","E-mail do destinatário administrador"
"Per le notifiche di errore ed esito negativo. Vuoto = contatto generale dello store.","Para notificações de erro e resultado negativo. Vazio = contato geral da loja."
"Avvisa il cliente quando il documento è pronto","Avisar o cliente quando o documento estiver pronto"
"Spesso il provider invia già il proprio invito a firmare: disattivato di default.","O provedor geralmente já envia seu próprio convite para assinar: desativado por padrão."
"Template ""documento pronto"" (cliente)","Modelo ""documento pronto"" (cliente)"
"Avvisa il cliente quando il documento è firmato","Avisar o cliente quando o documento for assinado"
"Template ""documento firmato"" (cliente)","Modelo ""documento assinado"" (cliente)"
"Avvisa il cliente se il documento scade o viene rifiutato","Avisar o cliente se o documento expirar ou for recusado"
"Disattivato di default per evitare allarmismi: valutare caso per caso.","Desativado por padrão para evitar alarmismo: avaliar caso a caso."
"Template ""scaduto/rifiutato"" (cliente)","Modelo ""expirado/recusado"" (cliente)"
"Avvisa l'admin in caso di errore definitivo","Avisar o administrador em caso de erro definitivo"
"Template ""errore documento"" (admin)","Modelo ""erro de documento"" (administrador)"
"Avvisa l'admin se il documento scade o viene rifiutato","Avisar o administrador se o documento expirar ou for recusado"
"Template ""scaduto/rifiutato"" (admin)","Modelo ""expirado/recusado"" (administrador)"
"Il tuo contratto da firmare digitalmente è pronto (ordine %increment_id)","Seu contrato para assinatura digital está pronto (pedido %increment_id)"
"Ciao %name,","Olá %name,"
"il contratto relativo al tuo ordine #%increment_id è pronto per essere firmato digitalmente.","o contrato do seu pedido #%increment_id está pronto para ser assinado digitalmente."
"A breve riceverai (o hai già ricevuto) le istruzioni dal servizio di firma all'indirizzo %email. Segui quel processo per completare la firma.","Em breve você receberá (ou já recebeu) as instruções do serviço de assinatura em %email. Siga esse processo para concluir a assinatura."
"Puoi consultare lo stato del tuo ordine qui: <a href=""%url"">I miei ordini</a>","Você pode consultar o status do seu pedido aqui: <a href=""%url"">Meus pedidos</a>"
"Il tuo contratto firmato è disponibile (ordine %increment_id)","Seu contrato assinado está disponível (pedido %increment_id)"
"il contratto relativo al tuo ordine #%increment_id è stato firmato digitalmente con successo.","o contrato do seu pedido #%increment_id foi assinado digitalmente com sucesso."
"Puoi scaricare il documento firmato dalla tua area clienti: <a href=""%url"">Vai all'ordine</a>","Você pode baixar o documento assinado na sua área de cliente: <a href=""%url"">Ir para o pedido</a>"
"Aggiornamento sul contratto da firmare (ordine %increment_id)","Atualização sobre o contrato a ser assinado (pedido %increment_id)"
"il processo di firma del contratto relativo al tuo ordine #%increment_id si è concluso con esito: %status.","o processo de assinatura do contrato do seu pedido #%increment_id foi concluído com o resultado: %status."
"Se ritieni che si tratti di un errore, contatta il nostro servizio clienti. Puoi consultare il tuo ordine qui: <a href=""%url"">I miei ordini</a>","Se você acredita que isso é um engano, entre em contato com nosso atendimento ao cliente. Você pode consultar seu pedido aqui: <a href=""%url"">Meus pedidos</a>"
"[Firma Digitale] Errore documento #%document_id (ordine %increment_id)","[Assinatura Digital] Erro no documento #%document_id (pedido %increment_id)"
"L'elaborazione di un documento firma è terminata in errore e richiede un intervento manuale.","O processamento de um documento de assinatura terminou em erro e requer intervenção manual."
"Documento: #%document_id","Documento: #%document_id"
"Ordine: #%increment_id","Pedido: #%increment_id"
"Provider: %provider","Provedor: %provider"
"Firmatario: %email","Signatário: %email"
"Errore: %message","Erro: %message"
"Vai all'ordine in backend: <a href=""%url"">%url</a>","Abrir o pedido no backend: <a href=""%url"">%url</a>"
"[Firma Digitale] Documento #%document_id %status (ordine %increment_id)","[Assinatura Digital] Documento #%document_id %status (pedido %increment_id)"
"Il processo di firma di un documento si è concluso con esito negativo.","O processo de assinatura de um documento terminou com um resultado negativo."
"Esito: %status","Resultado: %status"
"In attesa",Pendente
Generato,Gerado
"Inviato in firma","Enviado para assinatura"
Firmato,Assinado
Rifiutato,Recusado
Scaduto,Expirado
Errore,Erro
Annullato,Cancelado
"Salvataggio in corso...",Salvando...
"Preferenza salvata.","Preferência salva."
